,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
0,Ryan Osgar,EC,30,185.42,77.112,1,Minnesota,16,330,379,121,74,47,3,106,497,96.69,7696,3579,4117,68.87,48,15,2,3,0,25,86.21,0,312,18,353
1,Leandro Marx,POR,,,,10,,13,405,483,113,60,53,10,87,361,90.02,8220,2612,5608,45.55,40,30,1,6,0,22,70.97,29,353,52,402
2,Ben Jagt,EC,30,198.12,85.2768,4,Minnesota,16,387,330,95,39,56,11,81,197,88.74,5625,1341,4284,64.55,25,24,0,1,0,5,31.25,84,177,210,387
3,Cameron Brock,EC,34,180.34,78.0192,3,Ball State,14,349,383,80,21,59,2,72,246,96.47,4905,1267,3638,57.44,25,5,1,5,0,2,66.67,0,316,33,358
4,Pawel Janas,CHI,29,177.8,77.112,55,Colorado,15,351,417,99,74,25,1,71,741,94.76,8218,5625,2593,63.79,54,28,0,1,0,15,53.57,1,349,2,371
5,Joe Merrill,SLC,,,,40,,13,330,385,67,15,52,12,69,172,97.18,4433,776,3657,56.1,23,4,0,6,0,6,100.0,0,284,46,326
6,Alex Davis,CAR,,,,80,,14,282,324,75,18,57,6,66,154,92.22,4074,846,3228,65.43,27,12,0,3,0,4,50.0,0,259,23,294
7,James Lewis,TOR,24,193.04,,9,Queen's University,12,312,343,74,24,50,11,64,212,92.17,5237,1677,3560,51.02,17,16,0,5,1,11,64.71,0,265,47,314
8,Sean Mott,EC,29,175.26,68.04,81,Bucks county community college,14,331,417,83,61,22,11,63,428,93.25,5608,3075,2533,54.68,34,27,1,4,0,20,64.52,4,302,29,354
9,Travis Dunn,SD,31,187.96,77.112,80,Arizona State,12,280,342,82,54,28,4,61,340,92.64,5588,2284,3304,56.43,21,21,0,4,0,18,81.82,0,255,25,288
10,Jordan Kerr,SLC,,,,66,,15,354,427,126,95,31,4,102,376,92.61,7072,3641,3431,56.67,27,24,0,4,0,15,88.24,0,330,24,332
11,Quinn Finer,COL,,,,88,,15,350,408,93,39,54,6,87,338,97.13,7256,2789,4467,61.76,36,8,0,4,0,22,81.48,0,327,23,367
12,Kyle Henke,ATX,24,190.5,79.38,23,Texas Tech,13,341,368,72,43,29,12,73,350,97.49,4924,2445,2479,59.51,20,9,0,2,0,11,84.62,3,288,53,329
13,Evan Swiatek,ATX,29,177.8,65.772,5,Marquette Universtiy,13,304,333,80,28,52,5,71,290,95.39,5010,1622,3388,58.56,26,11,0,3,0,7,70.0,0,253,51,307
14,Ross Barker,CHI,28,182.88,80.74080000000001,25,Wisconsin,16,394,444,89,39,50,5,71,334,93.82,6506,2989,3517,63.74,44,17,0,6,0,24,85.71,1,351,43,402
15,Sean McDougall,SD,32,182.88,74.844,10,CS Fullerton,13,279,330,72,30,42,10,67,156,91.76,3850,1138,2712,56.36,19,11,0,4,0,8,66.67,0,244,35,288
16,Jeff Babbitt,NY,28,187.96,102.06,87,Massachusetts,15,293,281,61,4,57,8,64,178,97.27,3397,70,3327,67.97,11,5,1,0,0,1,100.0,0,210,83,307
17,Rowan McDonnell,DC,33,182.88,77.112,12,Tidewater Community College,15,340,362,85,51,34,7,64,537,94.05,6621,4021,2600,66.02,39,28,1,0,0,20,68.97,8,296,44,354
18,James Pollard,PHI,26,195.57999999999998,72.576,17,Jefferson University,13,285,348,82,43,39,14,62,216,87.8,5806,2414,3392,55.75,22,28,1,6,0,27,61.36,15,265,20,291
19,Alec Arsenault,EC,31,182.88,79.38,22,,11,273,328,58,22,36,13,59,218,94.37,4861,1658,3203,53.05,27,8,0,4,0,8,72.73,0,249,24,291
20,Jay Froude,COL,,187.96,81.648,2,Missouri,12,269,321,63,21,42,8,59,198,94.29,4550,1023,3527,59.81,23,10,0,2,0,6,75.0,2,254,15,284
21,Christian Boxley,DC,26,177.8,68.04,13,Georgetown,13,259,290,60,18,42,4,57,268,97.1,3665,1082,2583,66.9,24,7,0,0,1,0,,0,244,15,277
22,Quinn Snider,MIN,24,187.96,79.38,98,Canadian Mennonite Universty,13,252,313,56,6,50,9,57,139,94.56,3305,568,2737,53.04,15,6,1,2,0,1,100.0,0,213,39,269
23,Thomas Brewster,COL,,,,22,,13,273,326,54,11,43,4,55,136,97.84,3384,954,2430,65.03,10,3,0,0,0,1,50.0,0,271,2,280
24,David Colic,OTT,24,180.34,70.308,34,Carleton University,12,267,342,60,16,44,5,53,125,95.42,3826,793,3033,54.09,14,6,0,6,1,6,85.71,0,267,0,289
25,Levi Jacobs,IND,26,175.26,72.576,7,Center Grove (HS),13,296,343,74,45,29,3,53,218,90.46,5559,2091,3468,58.6,23,21,0,3,0,19,67.86,0,296,0,309
26,Elijah Jaime,ATL,,,,55,,12,200,197,49,9,40,5,51,92,98.92,2208,235,1973,58.88,17,1,0,2,0,0,,0,134,66,221
27,Greg Martin,PHI,29,177.8,74.844,4,Bloomsburg University,12,254,330,62,4,58,3,49,152,90.48,3319,165,3154,52.42,18,13,0,3,0,0,0.0,1,240,14,278
28,Jack Williams,NY,28,185.42,70.308,11,North Carolina-Wilmington,13,270,301,59,45,14,6,48,467,95.5,5270,3647,1623,67.77,43,17,0,0,0,9,42.86,0,250,20,294
29,Henry Fisher,CAR,26,198.12,78.4728,10,Carleton,12,240,290,50,24,26,2,46,203,98.07,3971,1454,2517,62.76,20,4,0,2,0,13,86.67,0,227,13,255
30,Keegan North,IND,28,185.42,70.308,13,Cincinnati,11,263,296,75,51,24,8,59,294,91.59,5518,2743,2775,58.45,25,24,0,0,0,18,69.23,0,244,19,266
31,John Lithio,NY,29,195.57999999999998,88.452,54,Hope College,13,273,299,64,19,45,4,57,206,95.37,4520,1068,3452,70.9,20,9,0,2,0,6,75.0,0,255,18,291
32,Jeff Weis,CHI,26,193.04,83.916,19,Chicago,13,335,362,66,28,38,5,56,338,95.21,4652,1068,3584,62.43,27,14,0,1,0,8,72.73,1,294,41,348
33,Bryan Vohnoutka,MIN,33,177.8,77.112,3,Concordia College,14,300,319,64,38,26,14,53,250,89.93,4117,1365,2752,53.29,30,23,0,2,0,7,38.89,14,178,122,337
34,Dylan DeClerck,MIN,27,185.42,78.4728,54,University of Iowa,14,288,191,40,10,30,19,53,56,90.32,1627,405,1222,54.97,7,5,0,1,0,2,50.0,0,4,284,350
35,Chad Yorgason,SLC,,,,6,,14,361,265,54,41,13,17,51,151,86.78,3689,1821,1868,50.19,16,19,0,1,0,11,61.11,8,38,323,391
